reviewText,unixReviewTime,reviewTime
"Not a great movie, but worth watching.",1461715200,"04 27, 2016"
Crap. Not credible,1466380800,"06 20, 2016"
An Agatha Christie masterpiece.,1459123200,"03 28, 2016"
So so. Keep looking for better movies.,1496016000,"05 29, 2017"
"Not bad, dated of course, but the ending is a bit improbable.",1466726400,"06 24, 2016"
There are a few scares but not enough to make the movie a decent horror flick. An abrupt ending doesn't help it either.,1448409600,"11 25, 2015"
Just totally disliked it!,1473206400,"09 7, 2016"
"This movie wasn't bad. It is an odd little story and John Cusack really demonstrates some real acting chops here. Everyone else is pretty solid as well. In a word ""interesting.""",1377820800,"08 30, 2013"
"Yes Quick, wonderful and accurate",1396742400,"04 6, 2014"
Very boring and slow.  Do yourself a favor and skip this movie.  About a boy from Georgia to Los Angeles seeking work and comes out gay.,1384560000,"11 16, 2013"
Boring,1428019200,"04 3, 2015"
I stopped watching after about 20 mins. just could not get into it.,1425081600,"02 28, 2015"
Utterly ridiculous paint-by-numbers social commentary.,1466899200,"06 26, 2016"
"A funny movie that even the kids will enjoy, keeping in mind that the movie was made 50 years ago.",1375056000,"07 29, 2013"
"It was interesting to see a film made in the ancient past as far as cinematic development is concerned, but I wouldn't choose this over more modern work.",1353542400,"11 22, 2012"
Probably one of the best sports movies I have ever seen.  Great movie.,1447632000,"11 16, 2015"
no problems,1417996800,"12 8, 2014"
"I THOUGHT IT WAS AN OKAY FILM. I JUST THINK EDDIE MURPHY COULD HAVE DONE BETTER, IN BEING HOW FUNNY HE IS. I WOULDN'T BUY THE MOVIE. I RECOMMEND THAT YOU WATCH IT FIRST AND SEE HOW YOU FEEL...",1115683200,"05 10, 2005"
ITS OKAY,1445472000,"10 22, 2015"
"basically the same story of Job what exactly you go into the jungle, and face your client and some new songs and new characters. If you are at it again you may still enjoy it but the storyline is not very good quality of the picture was excellent!",1392940800,"02 21, 2014"
"Its OK. I thought it was an adult cartoon movie, but it made for younger kids.",1451865600,"01 4, 2016"
"""The Unbearable Boredom of Watching.""  That's what this movie should have been titled.  It is a long, relentless, punishingly dull movie following the lives of three people intertwined by a common relationship with each other.  Two of them, Tomas and his mistress, Sabina, are talented yet shallow hedonists who seem to have no interest in pursuing anything greater or more meaningful than sexual gratification.  Tomas' young wife, Tereza, is a sad, pathetic, naive woman who is devoted to her husband despite her knowledge of his ongoing affair with Sabina.  The story takes place in the 1960's era of Communist oppression in Czechoslovakia.After spending about 3 hours watching this movie, one comes away struggling to find some meaning in it all.  There were opportunities to make an interesting movie -- the tension between the women who share a common lover, the impact of Communist oppression on the lives of Tomas and his wife are but two examples -- but the writers and director chose an incredibly boring and meaningless path instead.  There are several episodes of gratuitous sex, nudity, and a lengthy homoerotic scene between Sabina and Tereza that add nothing to the meaning, quality, or entertainment of this movie.I can really find no reason to recommend this movie.  If you are looking for a love story or a fascinating tale about interesting people and their lives, you will be sorely disappointed.  Only someone who can find meaning watching the clothes dryer at a laundromat would find this movie interesting.",1140739200,"02 24, 2006"
Didn't realize when I chose to watch the movie that it was in Chinese.  Could very well be a good movie but I couldn't watch and read at the same time to enjoy the movie.,1400457600,"05 19, 2014"
"Trashy in some ways. My husband wanted to see it because it was a Navy flick, but it has a lot of foul language. Personally I didn't like it, but he did. I wouldn't recommend for family viewing because of language.",1446249600,"10 31, 2015"
Have not seen this. I don't remember ordering this. This may be a mistake/error.,1491436800,"04 6, 2017"
the best,1430352000,"04 30, 2015"
I gave this show a chance twice.  I guess this kind of comedy is not my cup of tea.  Yawn!!,1465689600,"06 12, 2016"
I watched this series when it first came out on TV. The series was cut short for it show our hero in SE Asia where he was killed. Was very disappointed with overall series on DVD.,1413936000,"10 22, 2014"
I have always wanted to purchase this movie for my uncle.  I am glad I purchased it for a reasonable price from Amazon.  This movie is a thriller with a great car chase.,1362009600,"02 28, 2013"
ok,1456617600,"02 28, 2016"
GOOD MOVIE,1462924800,"05 11, 2016"
This is a good movie but everything goes in slow motion. I think I was expected more and that messed it all up. It is not a bad movIe but I was looking for a little more action than it occurred.,1448409600,"11 25, 2015"
This was supposed to be free streaming for me (Amazon Prime member!) and I got billed $2.99 for it! NOT HAPPY!,1442016000,"09 12, 2015"
"I fully admit good tv is good tv, but it's just to unrealistic to have people who fought so hard to make it off an island to go back to that island under their own free will..once you get past that though Lost always delivers.",1242432000,"05 16, 2009"
it's ok,1478563200,"11 8, 2016"
Ok,1413158400,"10 13, 2014"
"I expected too much, but it's a gorgeous visual treat",1416355200,"11 19, 2014"
This was a bit disappointing in comparison to the first Taken.  Loved the first movie.  This was just an okay movie.,1362528000,"03 6, 2013"
"This review is NOT about the movie as it is five plus stars. It is about the blu ray from Twilight Time. I have the DVD and just received the blu ray. For some unknown reason Columbia Pictures never issued this as a blu ray, so Twilight Time did. Normally I have been pleased with Twilight Time releases (HINT: all their releases are far far cheaper on their website, as I just found) as well as Criterion Collection releases. Honestly, Criterion is the best of all of them...Criterion, Twilight, Shout! Factory and Scream! Factory.This is FAR FAR from a blu ray. I still own the DVD release and will continue to do so. There is absolutely NO difference between the blu ray and the Columbia DVD both in video and audio. I mean NONE. In fact, the blu ray is darker in tone then is the DVD. The darker tone does not account for a richer deeper picture, it is just dark. The DVD has a much brighter picture and the color at times appears sharper.Perhaps there is a reason why Columbia never issued this as a blu ray. If their reason was because the negative would not transfer well, I certainly understand--as it clearly does not.",1507161600,"10 5, 2017"
So boring as to be unwatchable,1407110400,"08 4, 2014"
"About the same as a lot of the movies made in this style of ""real"" but not really real.  Acting is okay, plot is fairly typical.  I did enjoy it but..  Good for a night when nothing else is on.",1357776000,"01 10, 2013"
very trite,1478908800,"11 12, 2016"
Truly one of the best movies ever made.  Definitely worth the time and it's message is timeless.,1512172800,"12 2, 2017"
"There's no bigger fan of The Bob Newhart Show than me. Well, with the possible exception of my wife.We just watched episodes from Season Two this morning, in fact, at which time we said, ""It's really a shame the rest of the serious isn't available on DVD.""So I looked this morning and discovered - lo and behold! - that the complete series will be released in May.IT'S ABOUT TIME!And...THANK YOU, NAMELESS TV EXECS!Who cares if we already own Seasons 1-4? Honestly, what difference does it make? if getting the rest of these brilliant TV series on DVD means I have to re-buy Seasons 1-4 I'm more than happy to do so.Quite complaining, people! For Pete's sake! Just be thankful that somebody in one of these networks had the brains to do what we've all wanted done for so many years.""Hi, Bob.""""Hi, Howard.""""Hi, Emily.""Bring it on!",1394323200,"03 9, 2014"
"I Still Know What You Did Last Summer takes place one year after the events of I Know What You Did Last Summer. Julie is now in college, taking Summer classes in Boston; trying to avoid Southport to put the past behind her. The past still haunts her on a regular basis however as she constantly has visions and dreams of the murderous, vengeful fisherman, Ben Willis coming after her.That afternoon, Julie and her best friend, Karla win tickets for 4 for a getaway to the Bahamas for 4th of July weekend via radio station call-in after answering the question of the capital of Brazil correctly.....or incorrectly. While Karla brings her boyfriend, Tyrell along on the trip; Julie plans on asking Ray, her boyfriend from the previous film to come along, but he initially declines out of frustration of her refusing to visit him in Southport. With Ray's ticket now on the table, Karla brings along her best friend, Will, who has a crush on Julie---and off they go!Once the 4 arrive in the Bahamas, they discover that others have left due to a tropical storm on the way. With it just being the 4 of them plus hotel staff, things seem to go great so far...until Julie begins receiving mysterious notes, reminding her of ""what she did"" and until the staff and crew begin getting gruesomely killed off one by one by a familiar hooded figure with a hook for a hand. What Julie hoped to be a peaceful and relaxing Summer has now turned into another hellacious nightmare. Some things you just can't bury.Overall: This was an okay sequel. I Still Know What You Did Last Summer moves away from the suspenseful thriller kind of movie that viewers witnessed in its predecessor and transitions to more of a slasher horror. Jennifer Love Hewitt and Freddie Prinze Jr. reprise their roles from the first film as the couple of Julie and Ray. Logic doesn't seem to play much of a factor in this movie which definitely deducts stars from this rating. For example the entire radio call-in scene is questionable in terms of answering the question correctly. Also, Julie is constantly receiving reminders saying ""I know what you did last Summer""; but in this case, shouldn't have been 2 Summers ago, considering that's when it all started? Or is the killer now mad about supposedly getting killed off last Summer? I Still Know What You Did Last Summer is one of those movies that have you asking too many questions throughout the duration of the film. The acting is subpar on certain levels as well. This would mark the last of the I Know What You Did films to feature any of the original cast and crew as a third sequel released in 2006 titled ""I'll Always Know What You Did Last Summer (avoid at all costs) featured a fresh new cast. I Still Know What You Did Last Summer gets a B+ in terms of gore and kills but the movie overall deserves a C - or maybe even a D",1410220800,"09 9, 2014"
"Another twists-for-the-sake-of-twists movie, many of which don't make any sense. Gives away some of it's punches way too early. Decent acting but not much else.",1409529600,"09 1, 2014"
Ok,1437523200,"07 22, 2015"
It's funny but this is the least of my favorites of Wes Anderson movies. It's an early one of his work. It has his humor and worth seeing but there's better ones of his movies out there!!,1434412800,"06 16, 2015"
I LOVE THIS MOVIE,1414195200,"10 25, 2014"
The TV Series was Better. The Movie was Second Rate at best.,1444348800,"10 9, 2015"
"I gave this a one star because I am not allowed to put ZERO. This movie is a complete waste of time. After 15 minutes of viewing I stopped the movie because it was so bad. The following day I watched the rest of the movie because I thought it would get better. I was so WRONG. Everything about this movie is bad. The acting is atrocious, the story simplistic and juvenile, the set, directing etc. was horrible. So glad I watched this during a Prime trial period or I would ask for double my money back!",1389830400,"01 16, 2014"
Not for the faint of heart but ideal for those of us with twisted senses of humor.  Laughed till I cried.,1140739200,"02 24, 2006"
"Pleasantly surprised at how enjoyable this was. Good story, clever, good action.",1461283200,"04 22, 2016"
Good,1494547200,"05 12, 2017"
Read this book awhile ago. Enjoyed the movie,1419984000,"12 31, 2014"
I enjoyed this movie in regular DVD format so I had to buy the Blu ray. And the colors are amazing.,1412121600,"10 1, 2014"
IT WOULDNT PLAY,1467158400,"06 29, 2016"
"Another Ed Norton movie, this one also starring Matt Damon. And John Malkovich, although I almost didn't recognize him at first. Problem is, I'm not a fan of poker or gambling, and none of the characters are particularly likable, so this did little for me.",1241136000,"05 1, 2009"
Good,1415145600,"11 5, 2014"
Possibly THE worst movie I have ever suffered through. I was watching it with my family and we all agreed that it was atrocious. Skip this one. Trust me.,1482796800,"12 27, 2016"
"Good movie, but didn't really keep my child's attention.",1462492800,"05 6, 2016"
I have seen this movie on TV over 25 years ago when I was a younger man. I loved the children in this movie who are already grown up by now. This is the type of movie that I would want my children to watch if I had any. To whoever has the power to do so. PLEASE MAKE THIS MOVIE INTO A DVD. Thank you,1116720000,"05 22, 2005"
"Not very well made. Few performers with any acting ability. If not for the fact that it kept me wanting to see just how silly it would get, I probably wouldn't have finished it and would have given it one star (or none).",1431907200,"05 18, 2015"
Olive films are crap.,1431561600,"05 14, 2015"
Meh.,1444867200,"10 15, 2015"
Weird sexy wonderful,1415923200,"11 14, 2014"
You roll your eyes through most of this and then at the end you cry like a baby proving that you have a heart.,1497657600,"06 17, 2017"
"Funny movie. Wife and I enjoyed it. Realistic, romantic comedy with some big laughs",1441670400,"09 8, 2015"
I love this movie.,1483660800,"01 6, 2017"
Seriously great movie,1460592000,"04 14, 2016"
"If you're looking for a great horror movie with an eerie back drop, flesh eating zombies and plenty of blood you're definitely looking in the wrong place! The eerie mansion backdrop of the video game is completely absent instead replaced by an over stylized laboratory and the basic premise of the game (survival horror) is thrown out of the window.Instead you get a bunch of incompetent special forces jerks who have no personality and seem to not think of trying a headshot when the people they shoot get back up after emptying entire magazines into them. This movie plays more like a crappy matrix remake with zombies delivering neck-breaking and kung-fu kicks galore instead of horror. Another thing there's no blood when they shoot 'em in the head just a shot of the gun going off and a quick cut to the tiny bullet hole on the forehead of the zombie; no forehead squibbs!The best thing about this movie is Milla Jovovich gets naked. You can even tell that some of the background in the mess hall tank sequence are 2-D paintings. As for any campy fun, none to speak of; very low gore it's mostly sterile CG stuff, the zombies just seem to nibble not taking a single bloody chunk out of anybody and in my opinion if you can't see it free of charge, don't.",1028937600,"08 10, 2002"
Mickey wrote better than he acted,1466467200,"06 21, 2016"
I thought it was a poor adaption of the older movie.,1526169600,"05 13, 2018"
Fun show not exactly for all family not sure what the rating was but I'd put 18+ to it.  Was fun to watch.,1445299200,"10 20, 2015"
"Interesting enough, acting wasn't bad, just didn't hold my attention very well. Works well enough for killing a couple of hours.",1380067200,"09 25, 2013"
Can't believe this is a marvel movie. Total disappointment and no really good humorous moments.,1421539200,"01 18, 2015"
"Love all things Scottish, but this was a little slow.",1485388800,"01 26, 2017"
Different feel than the earlier seasons...still good but not as fun.,1444694400,"10 13, 2015"
Not too good,1454112000,"01 30, 2016"
As expected,1423699200,"02 12, 2015"
Interesting!,1462060800,"05 1, 2016"
"A good, original film.  Great disc, finally a Disney release with extras on it.  Good picture quality.",982368000,"02 17, 2001"
"It's still X-Files but they seem to be searching for a way to move this forward a few more season. They try different things with more or less success, worst of all (in my opinion) being the cartoonish monster episode that is way off the path of the traditional X-Files. You'll still find good episodes but inspiration seems to be lacking in this season. I hope they find themselves soon and get back to what made this series great.",1400112000,"05 15, 2014"
I remember liking this movie as a child and wanted to watch it with my kids.  Unfortunately like a lot of older movies it couldn't hold their attention and I ended up watching it by myself.,1516579200,"01 22, 2018"
Just ok but I watched the whole movie,1455926400,"02 20, 2016"
"Nothing...absolutely NOTHING happens in this film.  I give it one star because there is nothing after that to give...one can't give zero stars.  I kept waiting for something...anything....that would make me root for the characters, but I didn't even know what was going on with them!!  I've seen some bad ones in my time but this has got to be one of the worst.  No payoff at the end....NOTHING!!!  A confusing mess.",1241654400,"05 7, 2009"
"I finally got what I paid for.  Decent movie but amazon's claims don't match their so called performance.  If you get what you paid for, be grateful.  I've been burned, (Did you smell that burnt smell there,) four times in the last six months and been totally ignored by amazon.  They can claim that they take care of claims, but they didn't.  Enough said.",1414454400,"10 28, 2014"
Not too bad l but lighting could be better for this blu Ray transfer.,1421539200,"01 18, 2015"
It is an okay movie,1484611200,"01 17, 2017"
"Didn't get under my skin at all. Turned it off after about 15 minutes, because I just didn't find it interesting enough to continue.",1418601600,"12 15, 2014"
I did not buy this movie and have no idea why I should or can rate it.  My husband and I are close to 80 and do not watch action movies.,1383696000,"11 6, 2013"
Boring and fell asleep trying to understand what's going on.  Someone else may find it better but it wasn't for me,1356307200,"12 24, 2012"
"This was the biggest bombthere are only 1 Emma Peel and 1 John Steed,,,,Diana Rigg and Patrick MacNee  RIPnext time you want to try a film.....based on series use them which can be no longer done RIP PATRICK MAGNEE  and forget the hacks",1448323200,"11 24, 2015"
Mediocre film noir.,1431820800,"05 17, 2015"
I LIKE THE OLD CLASSICS,1446076800,"10 29, 2015"
"Of course, I just love Jane Austen; so the story line was one I liked and the movie followed it pretty well.  Good acting and lovely settings.",1428451200,"04 8, 2015"
It was just ok,1444867200,"10 15, 2015"
i enjoy this movie very much and enjoy the rich india culture and beauty in this movie. i can watch it again and again.,1187136000,"08 15, 2007"
"ok movie If Andy wasn't in it,  I would not have watched it",1426982400,"03 22, 2015"
"We watched parts of this movie 3 times before we realized we hadn't missed anything.  The producers just forgot to include some vital info.  This could be a good movie, but the lack of continuity between its various parts and missing scenes leave the viewer thinking: ""Huh?""  And it doesn't get any clearer at the end.  Don't waste your time.",1426291200,"03 14, 2015"
A holiday must have very funny for the whole family keeps you laughing. Always loved this movie glad I can share with my children,1354665600,"12 5, 2012"
defective,1474675200,"09 24, 2016"
I have always loved this movie.,1445212800,"10 19, 2015"
"Just Great, thank you",1470096000,"08 2, 2016"
"The show is OK but there have been so many versions of this show that any next presentation has to have something outstanding or catchy to work.  This show doesn't, not really...",1396137600,"03 30, 2014"
Ok...,1486339200,"02 6, 2017"
"this movie is so bad you would have to watch Plane 9 from Outer space to see one that is worse.  Acting is horrible, writing is horrible, camera work is horrible....the entire movie is horrible.  Best use for this DVD is as a coaster.",1168300800,"01 9, 2007"
"After just reading the book the movie was quite a disappointment.  Of course a movie cannot have the detail of the book, but a lot of the highlights I thought were overlooked.  It lacked telling the love the people had for their land and the sacrifice for it.  The movie was mostly just a love story, and there are so many of those that are just monotony rehashed.",1478390400,"11 6, 2016"
"Classic American war movie. Must see for any ""Duke"" fans",1417651200,"12 4, 2014"
It was just OK the books are better,1462406400,"05 5, 2016"
I love the series but it was several weeks late.,1426291200,"03 14, 2015"
Good looking steel case and the movie is about some space people and it's also good.,1459209600,"03 29, 2016"
It was a good movie just took to long to get to the point.  I got board after an hour.  Ok movie.,1374019200,"07 17, 2013"
"Cute, funny and stylish!  Laughed my butt off, and really enjoyed the soundtrack. Robin Williams cameo is a treat too.",1378684800,"09 9, 2013"
I like baseball movies and this is another good one.  Redford did an excellent job!,1505520000,"09 16, 2017"
"the acting in this one was the worst, didn't get past the opening scenes.",1462579200,"05 7, 2016"
Seen better was a little drawn out I felt.,1415318400,"11 7, 2014"
"I mean come on, how many times can you make the same picture?? And then again, And once more and... I hoped at least the action sequences would work well but they're just same ol', same ol'... like the feeling you get from watching this film.",1363046400,"03 12, 2013"
I will say that I really loved this Karate Kid movie. Its nice to see a girl kick butt.,1426032000,"03 11, 2015"
"I have to confess that I don't play video games - eye-hand coordination and lightning reflexes weren't included in my genetic package, so this review is based on the movie - and nothing but the movie.Other than Milla Jovovich, no cast member did any real acting.  Michelle Rodriguez had a fairly difficult role to play, but the snarling and eye rolling was just too much at times.  She was necessarily tough, but the dialogue also really let her down. The rest of the cast was on par for a B Grade horror movie, and only slightly more animated than the zombies.This movie is what happens when you mix too many good things in a haphazard way. Imagine trying to write a coherent script when your ""must"" list includes zombies, were-dogs, sloppy genetic mutations with long tongues, a controlling computer system, an impregnable ""fortress"", a knockout babe with amnesia, a SWAT team, biological warfare, viruses, spies and saboteurs, a battle on a train, and guns - lots of guns.The zombie scenes failed to impress, no gore to be seen anywhere - they just looked like a typical crowd of people in the mosh pit at a rock concert.  The mutating tissue-thing was straight out of a Dean Koontz book, and most of the suspense scenes weren't very suspenseful, because whatever you expected to happen - did.On the cool side, you had the wicked lasers to do the slicing and dicing, Alice's (Milla) hot red zombie-kicking slit-way-up the side dress, and the fight scenes.  Many parts may seem familiar, mainly because you've seen scenes just like them in other popular action movies.Next time let Alice do some Mortal Kombat with Lara Croft and you can call it a Final Fantasy.Amanda Richards, February 22, 2005",1109030400,"02 22, 2005"
I grew up watching this movie when I was a child. I recently bought this DVD and I still love it. This movie is timeless.,1012003200,"01 26, 2002"
"The Fly (1958 version) is one of the Hollywood timeless classics with Vincent Price. The production, acting, dialog, and directing are of high order, and after over 50 years, it is still an entertaining film to watch. The 2.35:1 picture is very sharp and good.",1386201600,"12 5, 2013"
I bought the full monty....original movie and series 1 and 2. I know it requires some thought...and this is usually my genre and right up my ally.  But I am just not getting it.  It just seems inane.  Maybe #2 etc will get better...can't get any worse.,1271721600,"04 20, 2010"
"Save yourself the disappointment and skip this one. The previews will get you. Its a good premise, but falls way short.",1283040000,"08 29, 2010"
Ok,1469059200,"07 21, 2016"
Not a lot of talking. But an okay movie.,1492214400,"04 15, 2017"
It was just okay.,1471910400,"08 23, 2016"
Dont waste money,1500681600,"07 22, 2017"
"Not a very good movie, the love interest is not believable, the action scenes are so bad they are laughable, skip this movie unless you are really bored.",1418256000,"12 11, 2014"
The English sub titles were too sparse.  I was unable to keep up with the story line.  This would be a good film for Polish speaking people.  Other than that it was beautifully filmed.,1428278400,"04 6, 2015"
Contrived. No sparks. Silly. Lost interest.,1407196800,"08 5, 2014"
"SEE the star of ""Cool Hand Luke"" and ""The Sting"" attack the star of ""Gidget"" and ""The Flying Nun!"" in this CRITICAL EXAMINATION of the FOURTH ESTATE!  Is PAUL NEWMAN involved with organized crime or is he AN INNOCENT MAN?  Does journalist SALLY FIELD care about the TRUTH or just getting the STORY?  Written by former reporter KURT LUETKE, enjoy this study of the POWER and PRIVILEGE of the PRESS!  SEE Wilford Brimley come in at the end and put everybody in their place!  Another social commentary film from director SYDNEY POLLACK!",1001635200,"09 28, 2001"
cute - not great but good for a saturday afternoon,1499731200,"07 11, 2017"
A bit amateurish. It could have been developed into a far more worthwhile film.,1477180800,"10 23, 2016"
"Movie was okay, seen this situation before.",1464739200,"06 1, 2016"
We though Sam was funny when he first began his career.  But these are NOT funny.  Just hate against everyone and everything. The first disc was terrible but we thought maybe the second would be better but it was worse!  We threw both in the trash.  What a waste of money!,1323388800,"12 9, 2011"
poor script and rather boring,1465171200,"06 6, 2016"
"First of all the CG sucked. Second, Michelle Rodriguez can't act. She rolls her eyes to the back of her head with every line as if to make it more intense and stronger, it doesn't work. The movie doesn't really follow the game much. And although I never thought about this until I heard someone else say it, why would the computer send out all those little lasers and not just the ""net laser"" if it's job was to kill any and everything? The answer is, so they can include more unecessary action without incorporating it more smoothly and intelligently.If you want to see a good zombie flick, rent the original Night of the Living Dead.",1108684800,"02 18, 2005"
I loved the movie; thought I had seen all or most of Sidney Poitier movies but had never seen this one.  Very moving,1430006400,"04 26, 2015"
"After a while it becomes too predictable, he's just going to shoot another character. It could have been written better. The animation was interesting though.",1441497600,"09 6, 2015"
"I don't know about the video game but I don't have to know about it and to be a bright one to see that the conceptors of the game were inspired by George Romero's cinema.Take Romero's excellent movie, ""Day of the Dead"" (the third and last film in his zombi trilogy), add to it a big budget, plenty of computers and special effects and a couple of female stars, in order to grab the required audience, and you get that kind of predigested movie, that you forget as soon as you see it. The story is practically the same: a handful of characters trapped by a bunch of zombies in a closed, underground place, and who quickly slander each other for survival. ""Resident Evil"" is unfortunately typical of today's American action cinema: it's empty, noisy and brainless, in one word, standard. More than the story, totally trivial today - the virus theme has been told a hundred times, and in better, especially in ""Twelve Monkeys"" and in Richard Matheson's founder novel, ""I am Legend"" -, the biggest default of this film is the total lack of gore scenes, which is paradoxical for a zombie movie and the symptom of a politically correct U.S. cinema. Milla Jovovich is not very comfortable, the music, uselessly hard, is deafening and brings bad headache (but this is the fashion today), the beginning is totally taken from Vincenzo Natali's ""Cube"" and the ending, from John Carpenter's ""In the Mouth of Madness"".This disastrous movie (but what could you expect from the director of pitiful ""Mortal Kombat"", also based upon a video game?) is a good proof that money and technology don't always do good to cinema.A last point: it's George Romero himself who was first supposed to direct the movie. But he was put away after he brought a script we may suppose as 'gore' - and good - as his previous zombi works... Shame on the deciders! And shame on the finally chosen director! Your movie is a waste!",1066176000,"10 15, 2003"
Disappointing,1437264000,"07 19, 2015"
Saw this movie many years ago and liked it then. Wanted to see it again because I forgot some of it.,1402790400,"06 15, 2014"
"Amazing cast, slow, boring, painful movie",1455235200,"02 12, 2016"
"MY GRANDSON IS 16 AND SAID THIS MOVIE, WAS TERRIBLE NOT WELL PLANNED OUT A D MOVIE NOT A B MOVIE. POOR ACTING .",1330992000,"03 6, 2012"
no comment,1445472000,"10 22, 2015"
"It was slow, disjointed and badly cast.",1457395200,"03 8, 2016"
Outstanding movie. Very involving and wonderfully entertaining. Great to see fine acting in a horror drama. I'm so glad to see this awesome film after many decades.,1464825600,"06 2, 2016"
GREAT FOR MY COLLECTION I LOVE IT GREAT ACTORS. 100%,1404345600,"07 3, 2014"
